book_name,author,rating,reviews,price_usd,duration_mins,duration_category,primary_genre
The Girl With the Dragon Tattoo,Stieg Larsson,4.4,7693,11.43,1126,Very Long (10+ hrs),International Mystery & Crime
HBR Guide to Office Politics,Harvard Business Review,4.4,97,6.04,252,Medium (3-6 hrs),Time Management & Productivity
Investment Banking for Dummies,Matthew Krantz,4.4,63,10.07,897,Very Long (10+ hrs),General
A Fine Balance,Rohinton Mistry,4.5,1294,20.16,1549,Very Long (10+ hrs),Fiction Sagas
The Holy Bible in Audio - King James Version: The Complete Old & New Testament,King James Version,4.4,994,12.71,4320,Very Long (10+ hrs),Bibles
Trading Beyond the Matrix: The Red Pill for Traders and Investors,Van Tharp,3.9,113,10.07,715,Very Long (10+ hrs),Personal Finance
Black Friday: The True Story of the Bombay Bomb Blasts,Hussain Zaidi,4.5,96,10.59,543,Long (6-10 hrs),Terrorism
Rule #1: The Simple Strategy for Successful Investing - in Only 15 Minutes a Week!,Phil Town,4.6,677,13.84,689,Very Long (10+ hrs),Money Management
Secrets of Health from the Indian Kitchen,Ratna Rajaiah,4.5,4,10.07,717,Very Long (10+ hrs),Cooking
The Hero with a Thousand Faces,Joseph Campbell,4.6,1592,12.11,877,Very Long (10+ hrs),Folklore & Mythology Studies
The Five Rules for Successful Stock Investing: Morningstar's Guide to Building Wealth and Winning in the Market,Pat Dorsey,4.6,234,10.07,713,Very Long (10+ hrs),Stocks
Wonder,R J Palacio,4.7,17041,10.7,485,Long (6-10 hrs),General
Business Sutra: A Very Indian Approach to Management,Devdutt Pattanaik,4.5,205,10.07,686,Very Long (10+ hrs),Leadership
"Zero Limits: The Secret Hawaiian System for Wealth, Health, Peace, and More",Joe Vitale,4.4,892,8.47,381,Long (6-10 hrs),Small Businesses
What I Know for Sure,Oprah Winfrey,4.7,2169,3.89,233,Medium (3-6 hrs),Self-Esteem
"Coaching for Performance, Fourth Edition: GROWing Human Potential and Purpose - The Principles and Practice of Coaching and Leadership",John Whitmore,4.5,185,8.19,420,Long (6-10 hrs),Mentoring & Coaching
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,4.6,1365,125.04,396,Long (6-10 hrs),Business Motivation & Self-Improvement
Self Leadership and the One Minute Manager: Gain the Mindset and Skillset for Getting What You Need to Succeed,Ken Blanchard,4.7,84,56.63,159,Short (under 3 hrs),General
The Stranger,Albert Camus,4.1,47,5.63,207,Medium (3-6 hrs),Art for Teens
"The House of Hades: Heroes of Olympus, Book 4",Rick Riordan,4.7,5914,10.7,1051,Very Long (10+ hrs),General
"Killing Floor: Jack Reacher, Book 1",Lee Child,4.4,10141,13.17,939,Very Long (10+ hrs),Crime Thrillers
The Undoing Project: A Friendship That Changed the World,Michael Lewis,4.3,1697,9.06,617,Very Long (10+ hrs),Business Decision Making & Problem Solving
Beartown,Fredrik Backman,4.5,3531,9.88,823,Very Long (10+ hrs),Small Town & Rural Fiction
The Grand Sophy,Georgette Heyer,4.6,667,16.95,687,Very Long (10+ hrs),Regency Romance
Power vs. Force: The Hidden Determinants of Human Behavior,Dr. David R. Hawkins,4.6,298,13.83,490,Long (6-10 hrs),General
"Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",David Rock,4.6,452,160.78,582,Long (6-10 hrs),Business Decision Making & Problem Solving
My Hanuman Chalisa,Devdutt Pattnaik,4.5,409,6.04,279,Medium (3-6 hrs),General
Ulysses,James Joyce,3.9,882,16.12,1636,Very Long (10+ hrs),Psychological Fiction
Killing Commendatore,Haruki Murakami,4.4,884,13.17,1707,Very Long (10+ hrs),Magical Realism Fiction
On Earth We're Briefly Gorgeous,Ocean Vuong,4.5,1405,9.06,439,Long (6-10 hrs),Literary Fiction
How to Do Nothing: Resisting the Attention Economy,Jenny Odell,4.3,374,7.77,490,Long (6-10 hrs),Environmental Conservation
The Family Upstairs,Lisa Jewell,4.5,4314,10.7,577,Long (6-10 hrs),Espionage Thrillers
"The Dark Forest: The Three-Body Problem, Book 2",Cixin Liu,4.6,1493,14.36,1384,Very Long (10+ hrs),General
What to Expect the First Year,Heidi Murkoff,4.7,2986,20.16,2207,Very Long (10+ hrs),Parenting Infants & Toddlers
Shunya: A Novel,Sri M,4.5,636,8.05,423,Long (6-10 hrs),General
Close to the Bone,Lisa Ray,4.5,103,12.08,950,Very Long (10+ hrs),Women Biographies
"The Cruel Prince: The Folk of the Air, Book 1",Holly Black,4.6,2456,12.81,756,Very Long (10+ hrs),Epic Fantasy for Teens
"The Mahabharata, Volume 1",Bibek Debroy - translator,4.6,77,16.65,1197,Very Long (10+ hrs),Mysteries
The Richest Engineer: Mastering the Art of Wealth Creation,Abhishek Kumar,4.5,134,8.05,381,Long (6-10 hrs),Money Management
Permanent Record,Edward Snowden,4.6,4937,3.89,691,Very Long (10+ hrs),Biographies of Activists
Meditations,Marcus Aurelius,4.3,6649,1.19,407,Long (6-10 hrs),Ethics & Morality Philosophy
The Autobiography of Benjamin Franklin (AmazonClassics Edition),Benjamin Franklin,4.3,2232,8.05,400,Long (6-10 hrs),Historical Biographies
The Worry Trick: How Your Brain Tricks You into Expecting the Worst and What You Can Do About It,David Carbonell PhD,4.4,406,8.05,367,Long (6-10 hrs),Anxiety Disorders
Competing in the Age of AI: Strategy and Leadership When Algorithms and Networks Run the World,Marco Iansiti,4.7,100,7.06,578,Long (6-10 hrs),Data Science
"The Indian Army: Reminiscences, Reforms & Romance",H. S. Panag,5.0,6,8.05,540,Long (6-10 hrs),General
Silence: The Power of Quiet in a World Full of Noise,Thich Nhat Hanh,4.7,367,7.41,199,Medium (3-6 hrs),Spiritualism
The Overstory,Richard Powers,4.4,675,13.17,1378,Very Long (10+ hrs),Metaphysical & Visionary Fiction
Dare to Lead,Brené Brown,4.7,3445,10.7,490,Long (6-10 hrs),Leadership
Smarter Faster Better: The Secrets of Being Productive,Charles Duhigg,4.5,723,9.06,622,Very Long (10+ hrs),Time Management
Tinker Tailor Soldier Spy,John le Carré,4.4,1042,14.4,768,Very Long (10+ hrs),Espionage Thrillers
The PCOS Plan: Prevent and Reverse Polycystic Ovary Syndrome through Diet and Fasting,Nadia Brito Pateguana ND,4.6,71,5.36,396,Long (6-10 hrs),Infertility
Winners Take All: The Elite Charade of Changing the World,Anand Giridharadas,4.5,706,9.06,576,Long (6-10 hrs),Political Corruption & Misconduct
The Name of the Rose,Umberto Eco,4.2,810,13.72,1265,Very Long (10+ hrs),Historical Mysteries
World War Z,Max Brooks,4.4,6091,8.69,836,Very Long (10+ hrs),Post-Apocalyptic Science Fiction
My Journey: Transforming Dreams into Actions,A. P. J. Abdul Kalam,4.7,1145,6.04,205,Medium (3-6 hrs),Biographies of Presidents & Heads of State
The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,4.6,2488,13.17,1166,Very Long (10+ hrs),Contagious Diseases
The Effective Executive: The Definitive Guide to Getting the Right Things Done,Peter F. Drucker,4.6,645,125.04,375,Long (6-10 hrs),Leadership
How to Change Your Mind,Michael Pollan,4.7,1519,10.7,815,Very Long (10+ hrs),Pain Management
You Can Achieve More,Shiv Khera,4.5,160,6.86,381,Long (6-10 hrs),Personal Success
Roots,Alex Haley,4.6,644,12.35,1805,Very Long (10+ hrs),General
Made to Stick: Why Some Ideas Survive and Others Die,Charles Kahlenberg,4.6,1325,9.08,517,Long (6-10 hrs),Words
The Magic of Self-Respect: Awakening to Your Own Awareness,Osho,4.5,15,4.8,1756,Very Long (10+ hrs),General
365 Stories from Around the World,Om Books International,4.0,22,8.05,493,Long (6-10 hrs),Literary Criticism for Children
Meri Jeevan Yatra (Hindi Edition),A. P. J. Abdul Kalam,4.6,534,6.04,239,Medium (3-6 hrs),Biographies of Activists
Belt and Road: A Chinese World Order,Bruno Macaes,4.3,49,10.59,434,Long (6-10 hrs),Asia Politics & Government
50 Greatest Short Stories,Terry O'Brien - editor,4.3,80,14.11,1332,Very Long (10+ hrs),Literature Anthologies
Love in the Time of Cholera,Gabriel García Márquez,4.3,1432,11.47,941,Very Long (10+ hrs),Family Life Fiction
The Z Factor: My Journey as the Wrong Man at the Right Time,Subhash Chandra,4.5,190,8.05,509,Long (6-10 hrs),Biographies of Business Leaders
Rowley Jefferson's Awesome Friendly Adventure,Jeff Kinney,4.7,237,4.94,31,Short (under 3 hrs),Action & Adventure Fantasy for Children
What to Expect When You’re Expecting,Heidi Murkoff,4.6,5253,20.16,1963,Very Long (10+ hrs),Pregnancy & Childbirth
The Color Purple,Alice Walker,4.6,2337,8.05,478,Long (6-10 hrs),African American Literature
Rust in Peace: The Inside Story of the Megadeth Masterpiece,Dave Mustaine,4.2,7,6.02,279,Medium (3-6 hrs),Biographies of Composers & Musicians
Happy: Why More or Less Everything Is Absolutely Fine,Derren Brown,4.4,903,13.17,872,Very Long (10+ hrs),Personal Success
Alan Turing: The Enigma,Andrew Hodges,4.0,1163,13.71,1840,Very Long (10+ hrs),Machine Theory & AI
Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,4.6,308,10.07,931,Very Long (10+ hrs),General
Feel Better In 5: Your Daily Plan to Supercharge Your Health,Dr Rangan Chatterjee,4.6,1079,10.7,321,Medium (3-6 hrs),General
Ajaya Pason ka Khel,Anand Neelkantan,3.4,56,16.12,1685,Very Long (10+ hrs),Literary Fiction
The Secret Wish List,Preeti Shenoy,4.3,581,8.05,462,Long (6-10 hrs),General
"Gemina: The Illuminae Files, Book 2",Amie Kaufman,4.7,523,8.69,753,Very Long (10+ hrs),Science Fiction for Teens
"How to Analyze People: The Complete Psychologist’s Guide to Speed Reading People - Analyze and Influence Anyone Through Human Behavior Psychology, Analysis of Body Language and Personality Types",Brandon Cooper,3.2,30,2.81,43,Short (under 3 hrs),Communication & Social Skills
Pralay: The Great Deluge,Vineet Bajpai,4.4,587,8.05,495,Long (6-10 hrs),Historical Thrillers
Pralay: The Great Deluge,Vineet Bajpai,4.4,587,8.05,495,Long (6-10 hrs),Historical Thrillers
Everyday Ayurveda: Daily Habits That Can Change Your Life in a Day,Bhaswati Bhattacharya,4.3,332,10.59,619,Very Long (10+ hrs),Literary Essays
"Magnus Chase and the Sword of Summer: Magnus Chase and the Gods of Asgard, Book One",Rick Riordan,4.6,2757,12.35,920,Very Long (10+ hrs),Fairy Tales
Naraz [Angry],Rahat Indori,4.5,263,2.81,38,Short (under 3 hrs),General
Open: The Autobiography,Andre Agassi,4.7,2954,68.78,388,Long (6-10 hrs),General
Retrain Your Brain: Cognitive Behavioral Therapy in 7 Weeks: A Workbook for Managing Depression and Anxiety,Seth J. Gillihan PhD,4.1,110,7.05,257,Medium (3-6 hrs),General
Practical Female Psychology: For the Practical Man,Joseph South,4.5,22,8.05,392,Long (6-10 hrs),Marriage
"Not a Penny More, Not a Penny Less",Jeffrey Archer,4.4,1008,3.89,452,Long (6-10 hrs),International Mystery & Crime
The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism (Int'l Edit.),Olivia Fox Cabane,4.5,972,9.88,500,Long (6-10 hrs),Self-Esteem
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,4.6,664,19.67,1356,Very Long (10+ hrs),Cosmology
Million Dollar Habits: 12 Power Practices to Double and Triple Your Income,Brian Tracy,3.8,5,21.37,426,Long (6-10 hrs),Small Businesses
Heartburn,Nora Ephron,4.1,641,10.59,330,Medium (3-6 hrs),Humorous Fiction
Go Pro - 7 Steps to Becoming a Network Marketing Professional,Eric Worre,4.8,4424,2.81,169,Short (under 3 hrs),Business Sales
The Digital Transformation Playbook: Rethink Your Business for the Digital Age,David L. Rogers,4.6,217,7.06,597,Long (6-10 hrs),Organisational Behaviour
The Tattooist of Auschwitz,Heather Morris,4.7,17578,16.0,446,Long (6-10 hrs),Jewish Literature
A Long Petal of the Sea,Isabel Allende,4.5,1340,7.77,586,Long (6-10 hrs),Latino American Literature
Fangirl,Rainbow Rowell,4.4,2655,3.89,769,Very Long (10+ hrs),Fiction on Loners & Outcasts for Teens
"Savarkar: Echoes of a Forgotton Past, Vol. 1: Part 2",Vikram Sampath,5.0,2,10.59,513,Long (6-10 hrs),Colonialism & Post-Colonialism
Elantris,Brandon Sanderson,4.6,1836,11.93,1722,Very Long (10+ hrs),Action & Adventure Fantasy
The Buddha Said: Meeting the Challenge of Life's Difficulties,OSHO,4.5,34,5.65,2157,Very Long (10+ hrs),Buddhist Sacred Writings
"Medical Medium Cleanse to Heal: Healing Plans for Sufferers of Anxiety, Depression, Acne, Eczema, Lyme, Gut Problems, Brain Fog, Weight Issues, Migraines, Bloating, Vertigo, Psoriasis, Cysts, Fatigue, PCOS, Fibroids, UTI, Endometriosis & Autoimmune",Anthony William,4.7,2180,11.3,1674,Very Long (10+ hrs),Cleansing & Detox Diets
The Presentation Secrets of Steve Jobs: How to Be Insanely Great in Front of Any Audience,Carmine Gallo,4.6,384,7.06,257,Medium (3-6 hrs),Art of Storytelling
On Confidence,The School of Life,4.4,114,4.23,9,Short (under 3 hrs),Consciousness & Thought
Sexual Intelligence: What We Really Want from Sex - and How to Get It,Marty Klein,4.6,70,131.0,455,Long (6-10 hrs),Sex Instruction
High Performance Habits: How Extraordinary People Become That Way,Brendon Burchard,4.6,1583,9.04,635,Very Long (10+ hrs),Stress Management
Behave,Robert M Sapolsky,4.7,1547,13.17,1587,Very Long (10+ hrs),Evolutionary Psychology
The Little Book of Behavioral Investing: How Not to Be Your Own Worst Enemy,James Montier,4.3,174,9.53,302,Medium (3-6 hrs),Investing & Trading
The Iliad & the Odyssey,Homer,4.7,280,0.39,1469,Very Long (10+ hrs),Ancient
"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond",Michio Kaku,4.7,533,9.88,742,Very Long (10+ hrs),Climate Change
The Ultimate Zig Ziglar Library,Zig Ziglar,4.0,1,24.19,850,Very Long (10+ hrs),Personal Success
NLP: The Essential Guide to Neuro-Linguistic Programming,Tom Dotz,4.6,415,10.07,674,Very Long (10+ hrs),Neuro-Linguistic Programming
Genghis Khan and the Making of the Modern World,Jack Weatherford,4.6,1232,12.08,860,Very Long (10+ hrs),Medieval European History
British Rule in India,Pandit Sunderlal,4.3,11,12.08,1001,Very Long (10+ hrs),General
The Little Book That Builds Wealth: Morningstar's Formula for Finding Great Investments,Pat Dorsey,4.5,144,8.47,294,Medium (3-6 hrs),Personal Finance
Quidditch Through the Ages,J.K. Rowling,4.7,1147,7.86,190,Medium (3-6 hrs),Sports Fiction for Children
"Live, Love and Laugh",Manjeet Sargam Chawla,4.3,88,8.05,321,Medium (3-6 hrs),Other Religions
The Greatness Guide: 101 Lessons for Making What’s Good at Work and in Life Even Better,Robin Sharma,4.5,52,7.06,257,Medium (3-6 hrs),Personal Success
How India Lost Her Freedom,Pandit Sunderlal,4.5,28,12.08,1102,Very Long (10+ hrs),General
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,4.6,626,16.12,2103,Very Long (10+ hrs),General
Rich Dad's Increase Your Financial IQ: Get Smarter with Your Money,Robert T. Kiyosaki,4.6,548,8.07,512,Long (6-10 hrs),Personal Finance
Reminiscences of a Stock Operator (Wiley Trading Audio),Edwin Lefevre,4.6,803,2.81,148,Short (under 3 hrs),Stocks
Looking for Alaska,John Green,4.4,7112,12.11,400,Long (6-10 hrs),Fiction on Dating & Sex for Teens
Common Sense on Mutual Funds: Fully Updated 10th Anniversary Edition,John C Bogle,4.3,42,19.77,1249,Very Long (10+ hrs),Mutual Funds
The Dhoni Touch,Bharat Sundaresan,4.5,272,10.59,415,Long (6-10 hrs),General
The Dhoni Touch,Bharat Sundaresan,4.5,272,10.59,415,Long (6-10 hrs),General
Blockchain Revolution,Don Tapscott,4.0,87,9.88,1073,Very Long (10+ hrs),General
The Art of Learning: An Inner Journey to Optimal Performance,Josh Waitzkin,4.4,890,10.07,475,Long (6-10 hrs),General
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,4.5,328,12.08,1696,Very Long (10+ hrs),Police Procedural Mysteries
"Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness",Jon Kabat-Zinn,4.6,1237,9.08,359,Medium (3-6 hrs),Stress Management
Warbreaker,Brandon Sanderson,4.6,1436,11.89,1496,Very Long (10+ hrs),Action & Adventure Fantasy
Ayurvedic Wellness: The Art and Science of Vibrant Health,Suhas Kshirsagar BAMS,5.0,2,13.83,382,Long (6-10 hrs),Fitness Workouts
One Night at the Call Centre,Chetan Bhagat,4.1,1112,8.23,453,Long (6-10 hrs),Humorous Fiction
Still Me,Jojo Moyes,4.7,4238,13.17,817,Very Long (10+ hrs),Romantic Comedy
Vishnu Ke Saat Rahasya [Seven Secrets of Vishnu],Devdutt Pattanaik,4.1,45,6.04,252,Medium (3-6 hrs),General
Gotta Have It: 69 Stories of Sudden Sex,Rachel Kramer Bussel,3.2,10,8.05,479,Long (6-10 hrs),Literature Anthologies
The Harbinger II: The Return,Jonathan Cahn,4.8,317,7.06,614,Very Long (10+ hrs),Biblical Fiction
"The Blood of Olympus: Heroes of Olympus, Book 5",Rick Riordan,4.6,5749,10.7,865,Very Long (10+ hrs),General
"Parallel Worlds: A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos",Michio Kaku,4.7,463,13.63,890,Very Long (10+ hrs),Cosmology
Chanakya's 7 Secrets of Leadership,D. Sivanandhan,4.2,227,8.05,443,Long (6-10 hrs),Leadership
And the Mountains Echoed,Khaled Hosseini,4.3,10978,10.07,840,Very Long (10+ hrs),Family Life Fiction
Megaliving (Hindi): From the Monk Who Sold His Ferrari,Robin Sharma,4.3,69,8.05,564,Long (6-10 hrs),Personal Success
Servant Leadership in Action: How You Can Achieve Great Relationships and Results,Ken Blanchard,4.5,104,8.05,591,Long (6-10 hrs),Christian Spiritual Growth
Private Delhi,James Patterson,4.3,251,8.23,427,Long (6-10 hrs),Crime Thrillers
Why Suffering?: Finding Meaning and Comfort When Life Doesn't Make Sense,Ravi Zacharias,4.7,292,6.02,423,Long (6-10 hrs),Christian Apologetics
Benedict Cumberbatch Reads Sherlock Holmes' Rediscovered Railway Stories: Four Original Short Stories,John Taylor,4.6,132,7.41,124,Short (under 3 hrs),Action & Adventure Anthologies & Short Stories
The Godfather,Mario Puzo,4.6,2602,10.52,1085,Very Long (10+ hrs),Classic Fiction (Books)
"The Dark Prophecy: The Trials of Apollo, Book 2",Rick Riordan,4.7,2177,10.7,752,Very Long (10+ hrs),Greek & Roman Fairy Tales for Children
I Know Why the Caged Bird Sings: A BBC Radio 4 Dramatisation,Maya Angelou,4.7,5718,7.41,8,Short (under 3 hrs),Women Biographies
The Moment of Lift: How Empowering Women Changes the World,Melinda Gates,4.6,1660,3.89,474,Long (6-10 hrs),Philanthropy & Charity
Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.6,1920,161.95,1089,Very Long (10+ hrs),Small Town & Rural Fiction
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,4.8,3005,10.07,620,Very Long (10+ hrs),General
Biomimicry: Innovation Inspired by Nature,Janine M. Benyus,4.4,215,178.65,895,Very Long (10+ hrs),General
Shantaram,Gregory David Roberts,4.5,278,16.14,2716,Very Long (10+ hrs),Urban Fiction
The Quality of Madness,Tim Rich,4.8,132,9.14,647,Very Long (10+ hrs),Sports Biographies
Metahuman: Unleashing Your Infinite Potential,Dr Deepak Chopra,4.6,514,10.7,762,Very Long (10+ hrs),Spiritualism
The Things You Can See Only When You Slow Down: How to be Calm in a Busy World,Haemin Sunim,4.6,1024,7.41,171,Short (under 3 hrs),Zen Buddhism
The Wind-Up Bird Chronicle,Haruki Murakami,4.4,1164,32.76,1566,Very Long (10+ hrs),Literary Fiction
Americanah,Chimamanda Ngozi Adichie,4.5,6254,9.96,1048,Very Long (10+ hrs),African American Literature
Can Love Happen Twice,Ravinder Singh,4.3,1304,8.47,341,Medium (3-6 hrs),General
"The Mists of Brahma: The Pataala Prophecy, Book 2",Christopher C Doyle,4.6,341,10.07,664,Very Long (10+ hrs),Action & Adventure Fantasy
TED Talks: The Official TED Guide to Public Speaking,Chris Anderson,4.5,563,10.08,451,Long (6-10 hrs),Public Speaking
The Deep Learning Revolution,Terrence J. Sejnowski,4.1,29,7.06,485,Long (6-10 hrs),Machine Theory & AI
Capital: Volume 1: A Critique of Political Economy,Karl Marx,4.4,285,24.14,2584,Very Long (10+ hrs),Communism & Socialism
Leadership Strategy and Tactics: Field Manual,Jocko Willink,4.7,114,3.89,504,Long (6-10 hrs),Time Management & Productivity
Byomkesh Bakshi Stories,Saradindu Bandopadhyay,4.4,45,8.05,386,Long (6-10 hrs),Traditional Detective Mysteries
"Thou Shall Prosper: Ten Commandments for Making Money, 2nd Edition",Rabbi Daniel Lapin,4.7,605,10.07,1073,Very Long (10+ hrs),General
"Superfreakonomics: Global Cooling, Patriotic Prostitutes and Why Suicide Bombers Should Buy Life Insurance",Stephen J. Dubner,4.5,1166,8.23,447,Long (6-10 hrs),General
1991: How P. V. Narasimha Rao Made History,Sanjaya Baru,4.2,182,8.05,325,Medium (3-6 hrs),Biographies of Presidents & Heads of State
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,4.6,241,12.71,647,Very Long (10+ hrs),Philosophy & Science
The Brave: Param Vir Chakra Stories,Rachna Bisht,4.7,568,12.11,490,Long (6-10 hrs),General
Interpreter of Maladies,Jhumpa Lahiri,4.4,948,7.61,375,Long (6-10 hrs),Contemporary Fantasy
The Story of World War II,Donald L. Miller,4.4,45,16.12,1492,Very Long (10+ hrs),World War II History
The Republic,Plato,4.5,1734,1.19,676,Very Long (10+ hrs),Greek & Roman Philosophy
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,4.6,1353,9.08,370,Long (6-10 hrs),African American Demographic Studies
The BFG,Roald Dahl,4.6,2444,7.41,264,Medium (3-6 hrs),Fiction Classics for Children
"Bared to You: A Crossfire Novel, Book 1",Sylvia Day,4.3,8799,5.65,692,Very Long (10+ hrs),Erotic Romance
Sense and Sensibility,Jane Austen,4.4,2775,10.07,685,Very Long (10+ hrs),Regency Romance
Sense and Sensibility,Jane Austen,4.4,2775,10.07,685,Very Long (10+ hrs),Regency Romance
Beloved,Toni Morrison,4.5,2397,13.63,723,Very Long (10+ hrs),African American Literature
The Ballad of Songbirds and Snakes: A Hunger Games Novel,Suzanne Collins,4.6,6520,8.47,976,Very Long (10+ hrs),Survival Stories for Teens
The Bastard of Istanbul,Elif Shafak,4.2,411,9.88,664,Very Long (10+ hrs),Women's Fiction
How Clients Buy: A Practical Guide to Business Development for Consulting and Professional Services,Tom McMakin,4.6,58,7.06,394,Long (6-10 hrs),Business Consulting
Inferno,Dan Brown,4.4,26244,13.17,1032,Very Long (10+ hrs),Suspense
"Zero Day: John Puller, Book 1",David Baldacci,4.4,4936,3.89,787,Very Long (10+ hrs),International Mystery & Crime
To-Do List Formula: A Stress-Free Guide to Creating To-Do Lists That Work!,Damon Zahariades,4.4,489,2.81,155,Short (under 3 hrs),Stress Management
The Little Book of Market Wizards: Lessons from the Greatest Traders,Jack D. Schwager,3.7,14,6.04,229,Medium (3-6 hrs),General
Eleventh Hour,S. Hussain Zaidi,4.0,90,8.05,305,Medium (3-6 hrs),Espionage Thrillers
Shadow and Bone,Leigh Bardugo,4.4,1794,8.05,561,Long (6-10 hrs),Fantasy for Teens
"My Sister, the Serial Killer",Oyinkan Braithwaite,4.2,2947,6.86,270,Medium (3-6 hrs),Women Sleuth Mysteries
Vaishali Ki Nagarvadhu [City of Vaishali],Acharya Chatursen,4.2,128,14.11,1433,Very Long (10+ hrs),Classic Literature
"Corporate Finance: The Ultimate Guide to Financial Reporting, Business Valuation, Risk Management, Financial Management, and Financial Statements",Greg Shields,4.7,8,10.07,751,Very Long (10+ hrs),General
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,4.7,1276,8.47,276,Medium (3-6 hrs),Sports Psychology
The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing,Bronnie Ware,4.3,589,12.81,553,Long (6-10 hrs),Grief & Loss
Secrets of Closing the Sale,Zig Ziglar,4.6,280,14.11,914,Very Long (10+ hrs),Personal Development & Self-Help
Salt: A World History,Mark Kurlansky,4.4,966,12.08,828,Very Long (10+ hrs),Gastronomy
Modern Man in Search of a Soul,Carl Gustav Jung,4.6,512,10.08,542,Long (6-10 hrs),Jungian Psychology
Infinite Jest,David Foster Wallace,4.2,1503,6.02,3372,Very Long (10+ hrs),Sports Fiction
Growth: From Microorganisms to Megacities,Vaclav Smil,4.5,135,9.88,1575,Very Long (10+ hrs),Environmental Public Policy
Willpower: Rediscovering the Greatest Human Strength,Roy F. Baumeister,4.4,660,12.11,546,Long (6-10 hrs),Compulsive Disorders
Rich Dad's Before You Quit Your Job: 10 Real-Life Lessons Every Entrepreneur Should Know About Building a Multimillion-Dollar Business,Robert T. Kiyosaki,4.7,188,8.07,478,Long (6-10 hrs),New Business Enterprises
A Children's History of India,Subhadra Sen Gupta,4.4,291,10.07,709,Very Long (10+ hrs),Asian History for Children
If Tomorrow Comes,Sidney Sheldon,4.5,1246,8.46,756,Very Long (10+ hrs),Espionage Thrillers
The Girl Who Drank the Moon,Kelly Barnhill,4.7,3587,7.77,571,Long (6-10 hrs),Fairy Tales
Turtles All the Way Down,John Green,4.4,3550,8.23,431,Long (6-10 hrs),Fiction on Friendship for Teens
The Far Field: A Novel,Madhuri Vijay,4.4,128,14.12,840,Very Long (10+ hrs),Literary Fiction
Terry Pratchett: BBC Radio Drama Collection: Seven BBC Radio 4 Full-Cast Dramatisations,Terry Pratchett,4.8,111,13.17,793,Very Long (10+ hrs),Fantasy Dramatisations
The Complete TurtleTrader: How 23 Novice Investors Became Overnight Millionaires,Michael W. Covel,4.4,415,10.07,608,Very Long (10+ hrs),Investing & Trading Commodities
Company of One: Why Staying Small Is the Next Big Thing for Business,Paul Jarvis,4.5,239,8.23,497,Long (6-10 hrs),Creativity
Blade Runner: Originally published as Do Androids Dream of Electric Sheep?,Philip K. Dick,4.6,824,10.58,552,Long (6-10 hrs),Cyberpunk Science Fiction
Chicken Soup for the Unsinkable Soul: Inspirational Stories of Overcoming Life's Challenges,Jack Canfield,4.2,23,8.05,492,Long (6-10 hrs),Anxiety Disorders
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1530,8.23,374,Long (6-10 hrs),Grief & Loss
Anatomy of an Illness as Perceived by the Patient: Reflections on Healing and Regeneration,Norman Cousins,4.4,202,8.07,222,Medium (3-6 hrs),Immune Systems & Autoimmune Diseases
A Political History of the World: Three Thousand Years of War and Peace (A Pelican Book),Jonathan Holslag,4.4,28,9.88,905,Very Long (10+ hrs),General
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.7,1159,7.06,1043,Very Long (10+ hrs),Philosophy & Science
The Duchess Deal,Tessa Dare,4.6,955,97.13,476,Long (6-10 hrs),Regency Romance
Ramayana Versus Mahabharata: My Playful Comparison,Devdutt Pattanaik,4.4,129,8.05,313,Medium (3-6 hrs),Literary History & Criticism
Social Media Marketing Workbook 2020,Jason McDonald PhD,4.5,235,10.07,840,Very Long (10+ hrs),Social Media
The 60 Day Challenge: A Feature Teaching with Dennis and Jennifer Clark,Dennis Clark,5.0,1,3.67,145,Short (under 3 hrs),Christian Ministry & Evangelism
Kargil: Untold Stories from the War,Rachna Bisht,4.7,210,10.59,307,Medium (3-6 hrs),Military & War Biographies
The Seven Spiritual Laws of Success,Deepak Chopra,4.5,3398,3.61,26,Short (under 3 hrs),Business Careers
The Seven Spiritual Laws of Success,Deepak Chopra,4.5,3398,3.61,26,Short (under 3 hrs),Business Careers
